out,in_time,in_gap_0,in_ordersAsDest_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_weather_0,in_temperature_0,in_pm25_0,in_area_0,in_totalOrders_0,in_poiCount,in_area_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_weather_1,in_temperature_1,in_pm25_1,in_area_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2,in_weather_2,in_temperature_2,in_pm25_2
5,132,3,32,1549,393,124,74,2,1,53,1,195,653376,1,202,7,25,1595,362,117,84,2,1,53,1,197,6,37,1603,353,122,89,2,1,53
5,133,5,32,1597,355,76,64,2,1,53,1,186,653376,1,195,3,32,1549,393,124,74,2,1,53,1,202,7,25,1595,362,117,84,2,1,53
9,134,5,40,1568,324,96,85,2,1,53,1,192,653376,1,186,5,32,1597,355,76,64,2,1,53,1,195,3,32,1549,393,124,74,2,1,53
4,135,9,43,1613,327,96,69,2,1,53,1,159,653376,1,192,5,40,1568,324,96,85,2,1,53,1,186,5,32,1597,355,76,64,2,1,53
3,136,4,37,1527,332,96,90,2,1,53,1,130,653376,1,159,9,43,1613,327,96,69,2,1,53,1,192,5,40,1568,324,96,85,2,1,53
2,137,3,24,1588,300,132,64,2,1,58,1,133,653376,1,130,4,37,1527,332,96,90,2,1,53,1,159,9,43,1613,327,96,69,2,1,53
3,138,2,20,1506,260,77,62,2,1,58,1,113,653376,1,133,3,24,1588,300,132,64,2,1,58,1,130,4,37,1527,332,96,90,2,1,53
3,139,3,15,1577,235,78,74,2,1,58,1,109,653376,1,113,2,20,1506,260,77,62,2,1,58,1,133,3,24,1588,300,132,64,2,1,58
4,140,3,14,1455,239,74,61,2,1,58,1,76,653376,1,109,3,15,1577,235,78,74,2,1,58,1,113,2,20,1506,260,77,62,2,1,58
8,141,4,26,1458,228,69,74,2,1,58,1,67,653376,1,76,3,14,1455,239,74,61,2,1,58,1,109,3,15,1577,235,78,74,2,1,58
4,142,8,11,1497,218,65,62,2,1,58,1,77,653376,1,67,4,26,1458,228,69,74,2,1,58,1,76,3,14,1455,239,74,61,2,1,58
3,143,4,13,1353,190,71,76,2,1,58,1,70,653376,1,77,8,11,1497,218,65,62,2,1,58,1,67,4,26,1458,228,69,74,2,1,58
9,144,3,13,1355,188,54,65,2,1,59,1,51,653376,1,70,4,13,1353,190,71,76,2,1,58,1,77,8,11,1497,218,65,62,2,1,58
0,120,0,10,730,165,43,16,4,1,48,2,55,343537,2,40,0,3,680,190,44,32,4,2,44,2,32,1,3,716,211,49,33,4,1,44
0,121,0,3,716,155,36,18,4,1,48,2,36,343537,2,55,0,10,730,165,43,16,4,1,48,2,40,0,3,680,190,44,32,4,2,44
0,122,0,2,766,180,39,30,4,1,48,2,27,343537,2,36,0,3,716,155,36,18,4,1,48,2,55,0,10,730,165,43,16,4,1,48
0,123,0,4,705,163,39,21,4,1,48,2,31,343537,2,27,0,2,766,180,39,30,4,1,48,2,36,0,3,716,155,36,18,4,1,48
5,124,0,5,659,162,40,28,2,1,48,2,26,343537,2,31,0,4,705,163,39,21,4,1,48,2,27,0,2,766,180,39,30,4,1,48
1,125,5,6,694,144,32,16,2,1,48,2,46,343537,2,26,0,5,659,162,40,28,2,1,48,2,31,0,4,705,163,39,21,4,1,48
1,126,1,2,704,183,31,32,2,1,53,2,20,343537,2,46,5,6,694,144,32,16,2,1,48,2,26,0,5,659,162,40,28,2,1,48
0,127,1,7,734,141,27,24,2,1,53,2,32,343537,2,20,1,2,704,183,31,32,2,1,53,2,46,5,6,694,144,32,16,2,1,48
2,128,0,10,674,136,30,35,2,1,53,2,38,343537,2,32,1,7,734,141,27,24,2,1,53,2,20,1,2,704,183,31,32,2,1,53
1,129,2,8,727,156,33,21,2,1,53,2,24,343537,2,38,0,10,674,136,30,35,2,1,53,2,32,1,7,734,141,27,24,2,1,53
4,130,1,8,645,118,31,33,2,1,53,2,28,343537,2,24,2,8,727,156,33,21,2,1,53,2,38,0,10,674,136,30,35,2,1,53
4,131,4,9,640,123,20,19,2,1,53,2,33,343537,2,28,1,8,645,118,31,33,2,1,53,2,24,2,8,727,156,33,21,2,1,53
0,132,4,4,741,144,24,20,2,1,53,2,24,343537,2,33,4,9,640,123,20,19,2,1,53,2,28,1,8,645,118,31,33,2,1,53
0,133,0,2,756,125,34,27,2,1,53,2,20,343537,2,24,4,4,741,144,24,20,2,1,53,2,33,4,9,640,123,20,19,2,1,53
0,134,0,1,694,111,30,20,2,1,53,2,20,343537,2,20,0,2,756,125,34,27,2,1,53,2,24,4,4,741,144,24,20,2,1,53
2,135,0,3,716,104,24,27,2,1,53,2,14,343537,2,20,0,1,694,111,30,20,2,1,53,2,20,0,2,756,125,34,27,2,1,53
0,136,2,4,685,85,18,13,2,1,53,2,17,343537,2,14,0,3,716,104,24,27,2,1,53,2,20,0,1,694,111,30,20,2,1,53
0,137,0,3,671,99,24,24,2,1,58,2,15,343537,2,17,2,4,685,85,18,13,2,1,53,2,14,0,3,716,104,24,27,2,1,53
0,138,0,0,704,75,20,21,2,1,58,2,14,343537,2,15,0,3,671,99,24,24,2,1,58,2,17,2,4,685,85,18,13,2,1,53
1,139,0,0,698,113,24,9,2,1,58,2,19,343537,2,14,0,0,704,75,20,21,2,1,58,2,15,0,3,671,99,24,24,2,1,58
0,140,1,0,702,104,19,16,2,1,58,2,21,343537,2,19,0,0,698,113,24,9,2,1,58,2,14,0,0,704,75,20,21,2,1,58
0,141,0,1,736,99,20,24,2,1,58,2,11,343537,2,21,1,0,702,104,19,16,2,1,58,2,19,0,0,698,113,24,9,2,1,58
0,142,0,3,658,91,25,13,2,1,58,2,13,343537,2,11,0,1,736,99,20,24,2,1,58,2,21,1,0,702,104,19,16,2,1,58
0,143,0,2,705,88,13,17,2,1,58,2,12,343537,2,13,0,3,658,91,25,13,2,1,58,2,11,0,1,736,99,20,24,2,1,58
1,144,0,4,664,76,15,16,2,1,59,2,11,343537,2,12,0,2,705,88,13,17,2,1,58,2,13,0,3,658,91,25,13,2,1,58
0,120,0,1,265,45,10,10,4,1,48,3,2,31125,3,7,0,2,299,48,23,14,4,2,44,3,4,0,7,271,72,17,8,4,1,44
0,121,0,1,240,44,22,14,4,1,48,3,3,31125,3,2,0,1,265,45,10,10,4,1,48,3,7,0,2,299,48,23,14,4,2,44
0,122,0,2,266,50,9,12,4,1,48,3,2,31125,3,3,0,1,240,44,22,14,4,1,48,3,2,0,1,265,45,10,10,4,1,48
0,123,0,3,263,37,14,9,4,1,48,3,3,31125,3,2,0,2,266,50,9,12,4,1,48,3,3,0,1,240,44,22,14,4,1,48
2,124,0,3,196,58,15,2,2,1,48,3,5,31125,3,3,0,3,263,37,14,9,4,1,48,3,2,0,2,266,50,9,12,4,1,48
2,125,2,4,247,44,8,13,2,1,48,3,3,31125,3,5,0,3,196,58,15,2,2,1,48,3,3,0,3,263,37,14,9,4,1,48
0,126,2,4,280,48,14,9,2,1,53,3,7,31125,3,3,2,4,247,44,8,13,2,1,48,3,5,0,3,196,58,15,2,2,1,48
0,127,0,1,264,52,14,4,2,1,53,3,3,31125,3,7,2,4,280,48,14,9,2,1,53,3,3,2,4,247,44,8,13,2,1,48
1,128,0,2,207,58,29,9,2,1,53,3,1,31125,3,3,0,1,264,52,14,4,2,1,53,3,7,2,4,280,48,14,9,2,1,53
0,129,1,1,256,62,21,6,2,1,53,3,3,31125,3,1,0,2,207,58,29,9,2,1,53,3,3,0,1,264,52,14,4,2,1,53
0,130,0,3,217,35,12,6,2,1,53,3,2,31125,3,3,1,1,256,62,21,6,2,1,53,3,1,0,2,207,58,29,9,2,1,53
0,131,0,1,239,37,3,1,2,1,53,3,2,31125,3,2,0,3,217,35,12,6,2,1,53,3,3,1,1,256,62,21,6,2,1,53
1,132,0,1,262,30,6,11,2,1,53,3,2,31125,3,2,0,1,239,37,3,1,2,1,53,3,2,0,3,217,35,12,6,2,1,53
0,133,1,2,265,43,19,5,2,1,53,3,1,31125,3,2,0,1,262,30,6,11,2,1,53,3,2,0,1,239,37,3,1,2,1,53
0,134,0,0,227,35,3,4,2,1,53,3,0,31125,3,1,1,2,265,43,19,5,2,1,53,3,2,0,1,262,30,6,11,2,1,53
0,135,0,2,203,46,4,3,2,1,53,3,2,31125,3,0,0,0,227,35,3,4,2,1,53,3,1,1,2,265,43,19,5,2,1,53
2,136,0,1,206,28,8,11,2,1,53,3,0,31125,3,2,0,2,203,46,4,3,2,1,53,3,0,0,0,227,35,3,4,2,1,53
0,137,2,6,236,27,10,9,2,1,58,3,3,31125,3,0,0,1,206,28,8,11,2,1,53,3,2,0,2,203,46,4,3,2,1,53
0,138,0,1,198,35,8,7,2,1,58,3,4,31125,3,3,2,6,236,27,10,9,2,1,58,3,0,0,1,206,28,8,11,2,1,53
0,139,0,0,194,22,3,9,2,1,58,3,1,31125,3,4,0,1,198,35,8,7,2,1,58,3,3,2,6,236,27,10,9,2,1,58
0,140,0,1,224,31,4,5,2,1,58,3,3,31125,3,1,0,0,194,22,3,9,2,1,58,3,4,0,1,198,35,8,7,2,1,58
0,141,0,1,237,21,5,11,2,1,58,3,0,31125,3,3,0,1,224,31,4,5,2,1,58,3,1,0,0,194,22,3,9,2,1,58
1,142,0,3,254,33,6,3,2,1,58,3,1,31125,3,0,0,1,237,21,5,11,2,1,58,3,3,0,1,224,31,4,5,2,1,58
0,143,1,0,235,41,12,5,2,1,58,3,2,31125,3,1,0,3,254,33,6,3,2,1,58,3,0,0,1,237,21,5,11,2,1,58
0,144,0,2,205,33,10,9,2,1,59,3,1,31125,3,2,1,0,235,41,12,5,2,1,58,3,1,0,3,254,33,6,3,2,1,58
3,120,5,39,744,218,58,48,4,1,48,4,64,187829,4,74,5,37,787,190,63,32,4,2,44,4,64,1,41,760,242,94,41,4,1,44
7,121,3,49,738,250,48,47,4,1,48,4,64,187829,4,64,5,39,744,218,58,48,4,1,48,4,74,5,37,787,190,63,32,4,2,44
3,122,7,65,752,202,62,26,4,1,48,4,78,187829,4,64,3,49,738,250,48,47,4,1,48,4,64,5,39,744,218,58,48,4,1,48
5,123,3,43,727,177,60,43,4,1,48,4,71,187829,4,78,7,65,752,202,62,26,4,1,48,4,64,3,49,738,250,48,47,4,1,48
3,124,5,54,716,193,64,36,2,1,48,4,92,187829,4,71,3,43,727,177,60,43,4,1,48,4,78,7,65,752,202,62,26,4,1,48
2,125,3,39,786,202,61,30,2,1,48,4,103,187829,4,92,5,54,716,193,64,36,2,1,48,4,71,3,43,727,177,60,43,4,1,48
4,126,2,35,742,241,67,37,2,1,53,4,64,187829,4,103,3,39,786,202,61,30,2,1,48,4,92,5,54,716,193,64,36,2,1,48
4,127,4,43,705,212,63,43,2,1,53,4,80,187829,4,64,2,35,742,241,67,37,2,1,53,4,103,3,39,786,202,61,30,2,1,48
1,128,4,25,732,222,69,43,2,1,53,4,60,187829,4,80,4,43,705,212,63,43,2,1,53,4,64,2,35,742,241,67,37,2,1,53
13,129,1,46,785,188,75,46,2,1,53,4,60,187829,4,60,4,25,732,222,69,43,2,1,53,4,80,4,43,705,212,63,43,2,1,53
11,130,13,49,762,173,38,35,2,1,53,4,67,187829,4,60,1,46,785,188,75,46,2,1,53,4,60,4,25,732,222,69,43,2,1,53
10,131,11,29,758,213,32,23,2,1,53,4,74,187829,4,67,13,49,762,173,38,35,2,1,53,4,60,1,46,785,188,75,46,2,1,53
6,132,10,41,799,201,48,32,2,1,53,4,59,187829,4,74,11,29,758,213,32,23,2,1,53,4,67,13,49,762,173,38,35,2,1,53
7,133,6,40,785,150,46,48,2,1,53,4,56,187829,4,59,10,41,799,201,48,32,2,1,53,4,74,11,29,758,213,32,23,2,1,53
3,134,7,27,707,166,58,27,2,1,53,4,73,187829,4,56,6,40,785,150,46,48,2,1,53,4,59,10,41,799,201,48,32,2,1,53
1,135,3,21,694,149,39,30,2,1,53,4,59,187829,4,73,7,27,707,166,58,27,2,1,53,4,56,6,40,785,150,46,48,2,1,53
2,136,1,23,744,182,45,25,2,1,53,4,41,187829,4,59,3,21,694,149,39,30,2,1,53,4,73,7,27,707,166,58,27,2,1,53
4,137,2,15,787,208,38,29,2,1,58,4,35,187829,4,41,1,23,744,182,45,25,2,1,53,4,59,3,21,694,149,39,30,2,1,53
1,138,4,16,727,129,38,34,2,1,58,4,30,187829,4,35,2,15,787,208,38,29,2,1,58,4,41,1,23,744,182,45,25,2,1,53
2,139,1,7,735,146,33,22,2,1,58,4,27,187829,4,30,4,16,727,129,38,34,2,1,58,4,35,2,15,787,208,38,29,2,1,58
0,140,2,20,753,154,52,28,2,1,58,4,23,187829,4,27,1,7,735,146,33,22,2,1,58,4,30,4,16,727,129,38,34,2,1,58
3,141,0,12,744,151,47,26,2,1,58,4,25,187829,4,23,2,20,753,154,52,28,2,1,58,4,27,1,7,735,146,33,22,2,1,58
0,142,3,8,740,157,37,15,2,1,58,4,26,187829,4,25,0,12,744,151,47,26,2,1,58,4,23,2,20,753,154,52,28,2,1,58
0,143,0,8,693,124,35,28,2,1,58,4,9,187829,4,26,3,8,740,157,37,15,2,1,58,4,25,0,12,744,151,47,26,2,1,58
7,144,0,8,615,114,26,19,2,1,59,4,13,187829,4,9,0,8,693,124,35,28,2,1,58,4,26,3,8,740,157,37,15,2,1,58
0,120,0,2,150,22,2,1,4,1,48,5,3,27888,5,3,0,4,169,24,10,1,4,2,44,5,3,0,5,161,21,5,5,4,1,44
0,121,0,6,155,22,6,5,4,1,48,5,1,27888,5,3,0,2,150,22,2,1,4,1,48,5,3,0,4,169,24,10,1,4,2,44
0,122,0,11,123,16,4,0,4,1,48,5,0,27888,5,1,0,6,155,22,6,5,4,1,48,5,3,0,2,150,22,2,1,4,1,48
3,123,0,7,124,13,2,1,4,1,48,5,3,27888,5,0,0,11,123,16,4,0,4,1,48,5,1,0,6,155,22,6,5,4,1,48
2,124,3,6,121,13,9,8,2,1,48,5,5,27888,5,3,0,7,124,13,2,1,4,1,48,5,0,0,11,123,16,4,0,4,1,48
0,125,2,1,128,18,1,1,2,1,48,5,6,27888,5,5,3,6,121,13,9,8,2,1,48,5,3,0,7,124,13,2,1,4,1,48
0,126,0,2,140,14,3,1,2,1,53,5,4,27888,5,6,2,1,128,18,1,1,2,1,48,5,5,3,6,121,13,9,8,2,1,48
0,127,0,12,133,14,9,1,2,1,53,5,1,27888,5,4,0,2,140,14,3,1,2,1,53,5,6,2,1,128,18,1,1,2,1,48
0,128,0,1,105,23,2,3,2,1,53,5,3,27888,5,1,0,12,133,14,9,1,2,1,53,5,4,0,2,140,14,3,1,2,1,53
0,129,0,3,135,17,1,0,2,1,53,5,0,27888,5,3,0,1,105,23,2,3,2,1,53,5,1,0,12,133,14,9,1,2,1,53
0,130,0,8,148,24,3,2,2,1,53,5,1,27888,5,0,0,3,135,17,1,0,2,1,53,5,3,0,1,105,23,2,3,2,1,53
0,131,0,6,117,18,1,0,2,1,53,5,1,27888,5,1,0,8,148,24,3,2,2,1,53,5,0,0,3,135,17,1,0,2,1,53
0,132,0,6,98,18,6,0,2,1,53,5,2,27888,5,1,0,6,117,18,1,0,2,1,53,5,1,0,8,148,24,3,2,2,1,53
1,133,0,6,151,10,2,0,2,1,53,5,1,27888,5,2,0,6,98,18,6,0,2,1,53,5,1,0,6,117,18,1,0,2,1,53
1,134,1,9,141,18,3,6,2,1,53,5,2,27888,5,1,0,6,151,10,2,0,2,1,53,5,2,0,6,98,18,6,0,2,1,53
0,135,1,3,144,15,1,0,2,1,53,5,2,27888,5,2,1,9,141,18,3,6,2,1,53,5,1,0,6,151,10,2,0,2,1,53
0,136,0,7,120,17,1,1,2,1,53,5,0,27888,5,2,1,3,144,15,1,0,2,1,53,5,2,1,9,141,18,3,6,2,1,53
0,137,0,2,139,7,9,0,2,1,58,5,1,27888,5,0,0,7,120,17,1,1,2,1,53,5,2,1,3,144,15,1,0,2,1,53
1,138,0,6,98,16,5,1,2,1,58,5,1,27888,5,1,0,2,139,7,9,0,2,1,58,5,0,0,7,120,17,1,1,2,1,53
0,139,1,3,115,21,2,2,2,1,58,5,4,27888,5,1,0,6,98,16,5,1,2,1,58,5,1,0,2,139,7,9,0,2,1,58
0,140,0,2,135,22,1,1,2,1,58,5,2,27888,5,4,1,3,115,21,2,2,2,1,58,5,1,0,6,98,16,5,1,2,1,58
0,141,0,4,150,11,5,3,2,1,58,5,0,27888,5,2,0,2,135,22,1,1,2,1,58,5,4,1,3,115,21,2,2,2,1,58
0,142,0,4,126,10,1,7,2,1,58,5,0,27888,5,0,0,4,150,11,5,3,2,1,58,5,2,0,2,135,22,1,1,2,1,58
0,143,0,4,105,9,1,1,2,1,58,5,1,27888,5,0,0,4,126,10,1,7,2,1,58,5,0,0,4,150,11,5,3,2,1,58
0,144,0,3,85,7,1,0,2,1,59,5,1,27888,5,1,0,4,105,9,1,1,2,1,58,5,0,0,4,126,10,1,7,2,1,58
0,120,0,29,389,103,41,28,4,1,48,6,9,106240,6,10,0,28,395,105,27,23,4,2,44,6,7,0,26,385,116,45,29,4,1,44
0,121,0,23,397,88,33,24,4,1,48,6,6,106240,6,9,0,29,389,103,41,28,4,1,48,6,10,0,28,395,105,27,23,4,2,44
1,122,0,29,390,89,27,29,4,1,48,6,7,106240,6,6,0,23,397,88,33,24,4,1,48,6,9,0,29,389,103,41,28,4,1,48
1,123,1,24,401,57,15,18,4,1,48,6,11,106240,6,7,0,29,390,89,27,29,4,1,48,6,6,0,23,397,88,33,24,4,1,48
0,124,1,37,402,83,11,8,2,1,48,6,6,106240,6,11,1,24,401,57,15,18,4,1,48,6,7,0,29,390,89,27,29,4,1,48
1,125,0,30,388,88,33,22,2,1,48,6,8,106240,6,6,1,37,402,83,11,8,2,1,48,6,11,1,24,401,57,15,18,4,1,48
2,126,1,32,405,75,27,28,2,1,53,6,9,106240,6,8,0,30,388,88,33,22,2,1,48,6,6,1,37,402,83,11,8,2,1,48
0,127,2,23,375,80,28,26,2,1,53,6,8,106240,6,9,1,32,405,75,27,28,2,1,53,6,8,0,30,388,88,33,22,2,1,48
0,128,0,33,349,55,26,9,2,1,53,6,8,106240,6,8,2,23,375,80,28,26,2,1,53,6,9,1,32,405,75,27,28,2,1,53
1,129,0,21,386,87,31,19,2,1,53,6,7,106240,6,8,0,33,349,55,26,9,2,1,53,6,8,2,23,375,80,28,26,2,1,53
0,130,1,35,397,83,28,24,2,1,53,6,10,106240,6,7,0,21,386,87,31,19,2,1,53,6,8,0,33,349,55,26,9,2,1,53
0,131,0,37,387,88,34,25,2,1,53,6,8,106240,6,10,1,35,397,83,28,24,2,1,53,6,7,0,21,386,87,31,19,2,1,53
1,132,0,26,426,81,36,27,2,1,53,6,7,106240,6,8,0,37,387,88,34,25,2,1,53,6,10,1,35,397,83,28,24,2,1,53
0,133,1,19,422,83,31,17,2,1,53,6,11,106240,6,7,0,26,426,81,36,27,2,1,53,6,8,0,37,387,88,34,25,2,1,53
1,134,0,17,411,56,26,15,2,1,53,6,5,106240,6,11,1,19,422,83,31,17,2,1,53,6,7,0,26,426,81,36,27,2,1,53
0,135,1,26,407,105,32,26,2,1,53,6,4,106240,6,5,0,17,411,56,26,15,2,1,53,6,11,1,19,422,83,31,17,2,1,53
1,136,0,10,375,65,30,28,2,1,53,6,0,106240,6,4,1,26,407,105,32,26,2,1,53,6,5,0,17,411,56,26,15,2,1,53
1,137,1,16,384,68,34,16,2,1,58,6,7,106240,6,0,0,10,375,65,30,28,2,1,53,6,4,1,26,407,105,32,26,2,1,53
0,138,1,5,335,78,15,23,2,1,58,6,2,106240,6,7,1,16,384,68,34,16,2,1,58,6,0,0,10,375,65,30,28,2,1,53
0,139,0,12,330,66,20,9,2,1,58,6,4,106240,6,2,1,5,335,78,15,23,2,1,58,6,7,1,16,384,68,34,16,2,1,58
1,140,0,8,366,77,15,10,2,1,58,6,5,106240,6,4,0,12,330,66,20,9,2,1,58,6,2,1,5,335,78,15,23,2,1,58
0,141,1,4,359,54,20,30,2,1,58,6,9,106240,6,5,0,8,366,77,15,10,2,1,58,6,4,0,12,330,66,20,9,2,1,58
0,142,0,6,307,42,21,12,2,1,58,6,3,106240,6,9,1,4,359,54,20,30,2,1,58,6,5,0,8,366,77,15,10,2,1,58
0,143,0,2,323,58,25,9,2,1,58,6,1,106240,6,3,0,6,307,42,21,12,2,1,58,6,9,1,4,359,54,20,30,2,1,58
1,144,0,1,311,34,14,14,2,1,59,6,3,106240,6,1,0,2,323,58,25,9,2,1,58,6,3,0,6,307,42,21,12,2,1,58
10,120,10,94,2116,456,119,114,4,1,48,7,202,1174865,7,199,13,106,1987,549,146,92,4,2,44,7,220,12,109,1917,579,127,119,4,1,44
24,121,10,119,1951,495,135,91,4,1,48,7,211,1174865,7,202,10,94,2116,456,119,114,4,1,48,7,199,13,106,1987,549,146,92,4,2,44
58,122,24,120,1987,540,137,109,4,1,48,7,270,1174865,7,211,10,119,1951,495,135,91,4,1,48,7,202,10,94,2116,456,119,114,4,1,48
148,123,58,102,1962,509,139,90,4,1,48,7,267,1174865,7,270,24,120,1987,540,137,109,4,1,48,7,211,10,119,1951,495,135,91,4,1,48
188,124,148,132,2067,466,117,71,2,1,48,7,367,1174865,7,267,58,102,1962,509,139,90,4,1,48,7,270,24,120,1987,540,137,109,4,1,48
107,125,188,116,1998,452,118,97,2,1,48,7,418,1174865,7,367,148,132,2067,466,117,71,2,1,48,7,267,58,102,1962,509,139,90,4,1,48
117,126,107,139,2013,500,164,98,2,1,53,7,296,1174865,7,418,188,116,1998,452,118,97,2,1,48,7,367,148,132,2067,466,117,71,2,1,48
154,127,117,134,1961,496,121,94,2,1,53,7,306,1174865,7,296,107,139,2013,500,164,98,2,1,53,7,418,188,116,1998,452,118,97,2,1,48
195,128,154,132,2029,490,118,65,2,1,53,7,285,1174865,7,306,117,134,1961,496,121,94,2,1,53,7,296,107,139,2013,500,164,98,2,1,53
167,129,195,147,1990,436,126,89,2,1,53,7,346,1174865,7,285,154,132,2029,490,118,65,2,1,53,7,306,117,134,1961,496,121,94,2,1,53
122,130,167,121,1961,432,118,58,2,1,53,7,284,1174865,7,346,195,147,1990,436,126,89,2,1,53,7,285,154,132,2029,490,118,65,2,1,53
182,131,122,112,1959,390,125,44,2,1,53,7,262,1174865,7,284,167,121,1961,432,118,58,2,1,53,7,346,195,147,1990,436,126,89,2,1,53
59,132,182,143,1977,393,84,69,2,1,53,7,322,1174865,7,262,122,112,1959,390,125,44,2,1,53,7,284,167,121,1961,432,118,58,2,1,53
41,133,59,132,2006,432,93,70,2,1,53,7,168,1174865,7,322,182,143,1977,393,84,69,2,1,53,7,262,122,112,1959,390,125,44,2,1,53
21,134,41,105,1977,373,102,53,2,1,53,7,171,1174865,7,168,59,132,2006,432,93,70,2,1,53,7,322,182,143,1977,393,84,69,2,1,53
22,135,21,94,2088,405,125,87,2,1,53,7,149,1174865,7,171,41,105,1977,373,102,53,2,1,53,7,168,59,132,2006,432,93,70,2,1,53
8,136,22,63,1943,368,88,61,2,1,53,7,118,1174865,7,149,21,94,2088,405,125,87,2,1,53,7,171,41,105,1977,373,102,53,2,1,53
7,137,8,60,1895,330,80,69,2,1,58,7,120,1174865,7,118,22,63,1943,368,88,61,2,1,53,7,149,21,94,2088,405,125,87,2,1,53
1,138,7,46,1857,329,87,67,2,1,58,7,93,1174865,7,120,8,60,1895,330,80,69,2,1,58,7,118,22,63,1943,368,88,61,2,1,53
0,139,1,43,1891,395,81,64,2,1,58,7,52,1174865,7,93,7,46,1857,329,87,67,2,1,58,7,120,8,60,1895,330,80,69,2,1,58
3,140,0,37,1849,318,94,92,2,1,58,7,73,1174865,7,52,1,43,1891,395,81,64,2,1,58,7,93,7,46,1857,329,87,67,2,1,58
10,141,3,44,1886,297,66,78,2,1,58,7,74,1174865,7,73,0,37,1849,318,94,92,2,1,58,7,52,1,43,1891,395,81,64,2,1,58
12,142,10,28,1801,277,74,51,2,1,58,7,89,1174865,7,74,3,44,1886,297,66,78,2,1,58,7,73,0,37,1849,318,94,92,2,1,58
23,143,12,35,1795,241,48,56,2,1,58,7,83,1174865,7,89,10,28,1801,277,74,51,2,1,58,7,74,3,44,1886,297,66,78,2,1,58
13,144,23,40,1721,264,59,43,2,1,59,7,86,1174865,7,83,12,35,1795,241,48,56,2,1,58,7,89,10,28,1801,277,74,51,2,1,58
9,120,9,183,2829,739,219,178,4,1,48,8,301,1518402,8,357,20,184,2702,813,228,189,4,2,44,8,334,9,176,2614,689,262,215,4,1,44
20,121,9,209,2818,711,206,173,4,1,48,8,336,1518402,8,301,9,183,2829,739,219,178,4,1,48,8,357,20,184,2702,813,228,189,4,2,44
14,122,20,238,2792,659,218,169,4,1,48,8,432,1518402,8,336,9,209,2818,711,206,173,4,1,48,8,301,9,183,2829,739,219,178,4,1,48
10,123,14,243,2833,601,190,190,4,1,48,8,341,1518402,8,432,20,238,2792,659,218,169,4,1,48,8,336,9,209,2818,711,206,173,4,1,48
45,124,10,310,2839,609,173,151,2,1,48,8,352,1518402,8,341,14,243,2833,601,190,190,4,1,48,8,432,20,238,2792,659,218,169,4,1,48
31,125,45,316,2736,654,179,148,2,1,48,8,421,1518402,8,352,10,310,2839,609,173,151,2,1,48,8,341,14,243,2833,601,190,190,4,1,48
