out,in_time,in_gap_0,in_ordersAsDest_0,in_weather_0,in_temperature_0,in_pm25_0,in_lv1_0,in_lv2_0,in_lv3_0,in_lv4_0,in_area_0,in_totalOrders_0,in_poiCount,in_area_1,in_totalOrders_1,in_gap_1,in_ordersAsDest_1,in_weather_1,in_temperature_1,in_pm25_1,in_lv1_1,in_lv2_1,in_lv3_1,in_lv4_1,in_area_2,in_totalOrders_2,in_gap_2,in_ordersAsDest_2,in_weather_2,in_temperature_2,in_pm25_2,in_lv1_2,in_lv2_2,in_lv3_2,in_lv4_2
2,46,4,55,1,1,106,1363,311,101,51,1,160,653376,1,145,5,42,1,1,106,1289,268,80,84,1,109,6,31,1,1,106,1224,228,61,56
4,47,2,100,1,1,106,1418,343,99,90,1,213,653376,1,160,4,55,1,1,106,1363,311,101,51,1,145,5,42,1,1,106,1289,268,80,84
2,48,4,84,1,1,94,1474,384,98,90,1,278,653376,1,213,2,100,1,1,106,1418,343,99,90,1,160,4,55,1,1,106,1363,311,101,51
12,49,2,89,1,1,94,1562,398,88,70,1,230,653376,1,278,4,84,1,1,94,1474,384,98,90,1,213,2,100,1,1,106,1418,343,99,90
0,5,2,2,2,1,100,718,46,6,19,2,10,343537,2,21,0,0,2,1,102,692,51,22,14,2,7,0,2,2,1,102,672,69,11,11
0,6,0,1,2,1,100,694,48,14,17,2,7,343537,2,10,2,2,2,1,100,718,46,6,19,2,21,0,0,2,1,102,692,51,22,14
0,7,0,1,2,1,108,689,42,6,17,2,6,343537,2,7,0,1,2,1,100,694,48,14,17,2,10,2,2,2,1,100,718,46,6,19
1,8,0,0,2,1,108,654,42,21,16,2,9,343537,2,6,0,1,2,1,108,689,42,6,17,2,7,0,1,2,1,100,694,48,14,17
2,9,1,0,2,1,108,658,57,6,15,2,8,343537,2,9,0,0,2,1,108,654,42,21,16,2,6,0,1,2,1,108,689,42,6,17
0,10,2,1,2,0,108,678,45,5,16,2,6,343537,2,8,1,0,2,1,108,658,57,6,15,2,9,0,0,2,1,108,654,42,21,16
0,11,0,1,2,0,108,630,52,6,14,2,4,343537,2,6,2,1,2,0,108,678,45,5,16,2,8,1,0,2,1,108,658,57,6,15
7,12,0,0,2,0,108,599,45,22,14,2,2,343537,2,4,0,1,2,0,108,630,52,6,14,2,6,2,1,2,0,108,678,45,5,16
1,13,7,0,2,0,108,649,45,12,15,2,10,343537,2,2,0,0,2,0,108,599,45,22,14,2,4,0,1,2,0,108,630,52,6,14
0,14,1,0,2,0,108,621,27,17,4,2,2,343537,2,10,7,0,2,0,108,649,45,12,15,2,2,0,0,2,0,108,599,45,22,14
0,15,0,1,2,0,108,633,42,11,16,2,4,343537,2,2,1,0,2,0,108,621,27,17,4,2,10,7,0,2,0,108,649,45,12,15
0,16,0,0,2,0,108,580,33,10,8,2,2,343537,2,4,0,1,2,0,108,633,42,11,16,2,2,1,0,2,0,108,621,27,17,4
0,17,0,0,2,1,108,572,60,16,11,2,4,343537,2,2,0,0,2,0,108,580,33,10,8,2,4,0,1,2,0,108,633,42,11,16
0,18,0,0,2,0,106,610,48,20,9,2,2,343537,2,4,0,0,2,1,108,572,60,16,11,2,2,0,0,2,0,108,580,33,10,8
0,19,0,0,2,1,106,516,40,10,4,2,2,343537,2,2,0,0,2,0,106,610,48,20,9,2,4,0,0,2,1,108,572,60,16,11
0,20,0,0,2,1,106,583,28,6,4,2,0,343537,2,2,0,0,2,1,106,516,40,10,4,2,2,0,0,2,0,106,610,48,20,9
0,21,0,0,2,1,106,457,34,13,10,2,3,343537,2,0,0,0,2,1,106,583,28,6,4,2,2,0,0,2,1,106,516,40,10,4
0,22,0,0,2,1,106,418,47,15,14,2,0,343537,2,3,0,0,2,1,106,457,34,13,10,2,0,0,0,2,1,106,583,28,6,4
0,23,0,0,2,1,106,432,27,10,8,2,0,343537,2,0,0,0,2,1,106,418,47,15,14,2,3,0,0,2,1,106,457,34,13,10
0,24,0,0,2,1,107,487,29,4,7,2,1,343537,2,0,0,0,2,1,106,432,27,10,8,2,0,0,0,2,1,106,418,47,15,14
0,25,0,0,2,1,107,386,19,8,19,2,1,343537,2,1,0,0,2,1,107,487,29,4,7,2,0,0,0,2,1,106,432,27,10,8
0,26,0,0,2,1,107,364,19,13,12,2,0,343537,2,1,0,0,2,1,107,386,19,8,19,2,1,0,0,2,1,107,487,29,4,7
0,27,0,0,2,1,107,338,18,11,15,2,0,343537,2,0,0,0,2,1,107,364,19,13,12,2,1,0,0,2,1,107,386,19,8,19
1,28,0,0,2,1,107,342,31,8,4,2,0,343537,2,0,0,0,2,1,107,338,18,11,15,2,0,0,0,2,1,107,364,19,13,12
1,29,1,0,2,1,107,327,19,5,7,2,1,343537,2,0,0,0,2,1,107,342,31,8,4,2,0,0,0,2,1,107,338,18,11,15
0,30,1,0,2,1,107,360,20,5,4,2,1,343537,2,1,1,0,2,1,107,327,19,5,7,2,0,0,0,2,1,107,342,31,8,4
0,31,0,0,2,1,112,369,22,10,9,2,0,343537,2,1,1,0,2,1,107,360,20,5,4,2,1,1,0,2,1,107,327,19,5,7
0,32,0,0,2,1,112,363,19,4,3,2,0,343537,2,0,0,0,2,1,112,369,22,10,9,2,1,1,0,2,1,107,360,20,5,4
0,33,0,0,2,1,112,349,22,7,1,2,0,343537,2,0,0,0,2,1,112,363,19,4,3,2,0,0,0,2,1,112,369,22,10,9
0,34,0,0,2,1,112,398,18,8,2,2,0,343537,2,0,0,0,2,1,112,349,22,7,1,2,0,0,0,2,1,112,363,19,4,3
0,35,0,1,2,1,112,321,28,11,13,2,1,343537,2,0,0,0,2,1,112,398,18,8,2,2,0,0,0,2,1,112,349,22,7,1
0,36,0,2,2,1,110,386,27,14,4,2,1,343537,2,1,0,1,2,1,112,321,28,11,13,2,0,0,0,2,1,112,398,18,8,2
0,37,0,0,2,1,110,451,41,13,6,2,2,343537,2,1,0,2,2,1,110,386,27,14,4,2,1,0,1,2,1,112,321,28,11,13
0,38,0,0,2,1,110,483,39,5,5,2,0,343537,2,2,0,0,2,1,110,451,41,13,6,2,1,0,2,2,1,110,386,27,14,4
0,39,0,2,2,1,110,548,34,10,20,2,0,343537,2,0,0,0,2,1,110,483,39,5,5,2,2,0,0,2,1,110,451,41,13,6
2,40,0,3,2,1,110,552,51,3,8,2,5,343537,2,0,0,2,2,1,110,548,34,10,20,2,0,0,0,2,1,110,483,39,5,5
2,41,2,0,2,1,110,576,46,10,14,2,15,343537,2,5,0,3,2,1,110,552,51,3,8,2,0,0,2,2,1,110,548,34,10,20
0,42,2,6,2,1,106,607,58,28,17,2,15,343537,2,15,2,0,2,1,110,576,46,10,14,2,5,0,3,2,1,110,552,51,3,8
0,43,0,7,2,1,106,626,70,20,14,2,16,343537,2,15,2,6,2,1,106,607,58,28,17,2,15,2,0,2,1,110,576,46,10,14
0,44,0,7,1,1,106,646,52,17,12,2,15,343537,2,16,0,7,2,1,106,626,70,20,14,2,15,2,6,2,1,106,607,58,28,17
2,45,0,4,1,1,106,680,81,14,12,2,33,343537,2,15,0,7,1,1,106,646,52,17,12,2,16,0,7,2,1,106,626,70,20,14
1,46,2,11,1,1,106,678,104,14,19,2,30,343537,2,33,0,4,1,1,106,680,81,14,12,2,15,0,7,1,1,106,646,52,17,12
0,47,1,12,1,1,106,660,160,38,17,2,32,343537,2,30,2,11,1,1,106,678,104,14,19,2,33,0,4,1,1,106,680,81,14,12
0,48,0,16,1,1,94,648,175,27,25,2,43,343537,2,32,1,12,1,1,106,660,160,38,17,2,30,2,11,1,1,106,678,104,14,19
0,49,0,13,1,1,94,675,198,39,28,2,42,343537,2,43,0,16,1,1,94,648,175,27,25,2,32,1,12,1,1,106,660,160,38,17
0,5,1,1,2,1,100,190,21,6,2,3,1,31125,3,1,1,0,2,1,102,194,22,5,6,3,0,0,0,2,1,102,130,24,6,11
1,6,0,2,2,1,100,198,9,5,8,3,0,31125,3,1,1,1,2,1,100,190,21,6,2,3,1,1,0,2,1,102,194,22,5,6
0,7,1,1,2,1,108,210,24,5,6,3,1,31125,3,0,0,2,2,1,100,198,9,5,8,3,1,1,1,2,1,100,190,21,6,2
0,8,0,0,2,1,108,224,9,10,7,3,0,31125,3,1,1,1,2,1,108,210,24,5,6,3,0,0,2,2,1,100,198,9,5,8
0,9,0,0,2,1,108,181,9,2,4,3,0,31125,3,0,0,0,2,1,108,224,9,10,7,3,1,1,1,2,1,108,210,24,5,6
0,10,0,0,2,0,108,141,9,1,0,3,0,31125,3,0,0,0,2,1,108,181,9,2,4,3,0,0,0,2,1,108,224,9,10,7
0,11,0,1,2,0,108,184,11,0,1,3,0,31125,3,0,0,0,2,0,108,141,9,1,0,3,0,0,0,2,1,108,181,9,2,4
0,12,0,0,2,0,108,120,21,3,0,3,0,31125,3,0,0,1,2,0,108,184,11,0,1,3,0,0,0,2,0,108,141,9,1,0
0,13,0,0,2,0,108,138,18,7,1,3,0,31125,3,0,0,0,2,0,108,120,21,3,0,3,0,0,1,2,0,108,184,11,0,1
0,14,0,0,2,0,108,184,7,5,5,3,0,31125,3,0,0,0,2,0,108,138,18,7,1,3,0,0,0,2,0,108,120,21,3,0
0,15,0,1,2,0,108,162,4,9,6,3,0,31125,3,0,0,0,2,0,108,184,7,5,5,3,0,0,0,2,0,108,138,18,7,1
0,16,0,0,2,0,108,134,15,1,2,3,0,31125,3,0,0,1,2,0,108,162,4,9,6,3,0,0,0,2,0,108,184,7,5,5
0,17,0,0,2,1,108,96,3,14,0,3,1,31125,3,0,0,0,2,0,108,134,15,1,2,3,0,0,1,2,0,108,162,4,9,6
0,18,0,0,2,0,106,98,25,1,2,3,0,31125,3,1,0,0,2,1,108,96,3,14,0,3,0,0,0,2,0,108,134,15,1,2
0,19,0,0,2,1,106,161,6,2,0,3,0,31125,3,0,0,0,2,0,106,98,25,1,2,3,1,0,0,2,1,108,96,3,14,0
0,20,0,1,2,1,106,80,14,0,2,3,0,31125,3,0,0,0,2,1,106,161,6,2,0,3,0,0,0,2,0,106,98,25,1,2
0,21,0,0,2,1,106,103,14,5,4,3,0,31125,3,0,0,1,2,1,106,80,14,0,2,3,0,0,0,2,1,106,161,6,2,0
0,22,0,0,2,1,106,128,22,5,3,3,0,31125,3,0,0,0,2,1,106,103,14,5,4,3,0,0,1,2,1,106,80,14,0,2
1,23,0,1,2,1,106,118,21,0,7,3,1,31125,3,0,0,0,2,1,106,128,22,5,3,3,0,0,0,2,1,106,103,14,5,4
0,24,1,0,2,1,107,148,14,1,1,3,1,31125,3,1,0,1,2,1,106,118,21,0,7,3,0,0,0,2,1,106,128,22,5,3
0,25,0,0,2,1,107,103,32,6,5,3,0,31125,3,1,1,0,2,1,107,148,14,1,1,3,1,0,1,2,1,106,118,21,0,7
0,26,0,0,2,1,107,127,13,1,0,3,0,31125,3,0,0,0,2,1,107,103,32,6,5,3,1,1,0,2,1,107,148,14,1,1
0,27,0,0,2,1,107,118,19,3,4,3,0,31125,3,0,0,0,2,1,107,127,13,1,0,3,0,0,0,2,1,107,103,32,6,5
0,28,0,0,2,1,107,46,6,3,5,3,0,31125,3,0,0,0,2,1,107,118,19,3,4,3,0,0,0,2,1,107,127,13,1,0
0,29,0,0,2,1,107,38,2,3,8,3,0,31125,3,0,0,0,2,1,107,46,6,3,5,3,0,0,0,2,1,107,118,19,3,4
0,30,0,0,2,1,107,101,9,1,0,3,0,31125,3,0,0,0,2,1,107,38,2,3,8,3,0,0,0,2,1,107,46,6,3,5
0,31,0,0,2,1,112,91,23,10,2,3,0,31125,3,0,0,0,2,1,107,101,9,1,0,3,0,0,0,2,1,107,38,2,3,8
0,32,0,0,2,1,112,68,25,4,1,3,0,31125,3,0,0,0,2,1,112,91,23,10,2,3,0,0,0,2,1,107,101,9,1,0
0,33,0,0,2,1,112,115,2,0,4,3,0,31125,3,0,0,0,2,1,112,68,25,4,1,3,0,0,0,2,1,112,91,23,10,2
0,34,0,0,2,1,112,105,27,5,1,3,0,31125,3,0,0,0,2,1,112,115,2,0,4,3,0,0,0,2,1,112,68,25,4,1
0,35,0,0,2,1,112,68,11,3,5,3,0,31125,3,0,0,0,2,1,112,105,27,5,1,3,0,0,0,2,1,112,115,2,0,4
0,36,0,0,2,1,110,66,9,4,6,3,0,31125,3,0,0,0,2,1,112,68,11,3,5,3,0,0,0,2,1,112,105,27,5,1
0,37,0,0,2,1,110,39,16,5,4,3,0,31125,3,0,0,0,2,1,110,66,9,4,6,3,0,0,0,2,1,112,68,11,3,5
0,38,0,0,2,1,110,95,10,1,7,3,0,31125,3,0,0,0,2,1,110,39,16,5,4,3,0,0,0,2,1,110,66,9,4,6
0,39,0,0,2,1,110,146,6,10,5,3,0,31125,3,0,0,0,2,1,110,95,10,1,7,3,0,0,0,2,1,110,39,16,5,4
1,40,0,0,2,1,110,114,7,0,2,3,2,31125,3,0,0,0,2,1,110,146,6,10,5,3,0,0,0,2,1,110,95,10,1,7
0,41,1,0,2,1,110,178,17,9,5,3,5,31125,3,2,0,0,2,1,110,114,7,0,2,3,0,0,0,2,1,110,146,6,10,5
0,42,0,1,2,1,106,182,32,9,9,3,2,31125,3,5,1,0,2,1,110,178,17,9,5,3,2,0,0,2,1,110,114,7,0,2
0,43,0,2,2,1,106,172,34,14,3,3,0,31125,3,2,0,1,2,1,106,182,32,9,9,3,5,1,0,2,1,110,178,17,9,5
0,44,0,2,1,1,106,234,33,6,7,3,2,31125,3,0,0,2,2,1,106,172,34,14,3,3,2,0,1,2,1,106,182,32,9,9
2,45,0,1,1,1,106,187,49,10,10,3,2,31125,3,2,0,2,1,1,106,234,33,6,7,3,0,0,2,2,1,106,172,34,14,3
0,46,2,0,1,1,106,208,34,11,5,3,9,31125,3,2,0,1,1,1,106,187,49,10,10,3,2,0,2,1,1,106,234,33,6,7
0,47,0,2,1,1,106,186,53,11,7,3,4,31125,3,9,2,0,1,1,106,208,34,11,5,3,2,0,1,1,1,106,187,49,10,10
5,48,0,7,1,1,94,178,69,6,5,3,5,31125,3,4,0,2,1,1,106,186,53,11,7,3,9,2,0,1,1,106,208,34,11,5
3,49,5,3,1,1,94,190,77,6,9,3,9,31125,3,5,0,7,1,1,94,178,69,6,5,3,4,0,2,1,1,106,186,53,11,7
2,5,2,6,2,1,100,640,77,24,24,4,14,187829,4,10,1,3,2,1,102,592,88,41,23,4,22,0,10,2,1,102,666,82,28,19
2,6,2,7,2,1,100,575,91,18,20,4,13,187829,4,14,2,6,2,1,100,640,77,24,24,4,10,1,3,2,1,102,592,88,41,23
2,7,2,6,2,1,108,521,65,23,14,4,13,187829,4,13,2,7,2,1,100,575,91,18,20,4,14,2,6,2,1,100,640,77,24,24
3,8,2,2,2,1,108,571,94,30,11,4,10,187829,4,13,2,6,2,1,108,521,65,23,14,4,13,2,7,2,1,100,575,91,18,20
0,9,3,3,2,1,108,580,87,32,18,4,12,187829,4,10,2,2,2,1,108,571,94,30,11,4,13,2,6,2,1,108,521,65,23,14
4,10,0,4,2,0,108,524,93,19,24,4,11,187829,4,12,3,3,2,1,108,580,87,32,18,4,10,2,2,2,1,108,571,94,30,11
4,11,4,2,2,0,108,490,55,15,24,4,14,187829,4,11,0,4,2,0,108,524,93,19,24,4,12,3,3,2,1,108,580,87,32,18
2,12,4,2,2,0,108,457,62,16,26,4,17,187829,4,14,4,2,2,0,108,490,55,15,24,4,11,0,4,2,0,108,524,93,19,24
0,13,2,0,2,0,108,500,68,11,10,4,6,187829,4,17,4,2,2,0,108,457,62,16,26,4,14,4,2,2,0,108,490,55,15,24
5,14,0,3,2,0,108,497,76,23,17,4,6,187829,4,6,2,0,2,0,108,500,68,11,10,4,17,4,2,2,0,108,457,62,16,26
1,15,5,0,2,0,108,428,81,5,8,4,10,187829,4,6,0,3,2,0,108,497,76,23,17,4,6,2,0,2,0,108,500,68,11,10
2,16,1,2,2,0,108,425,60,10,10,4,7,187829,4,10,5,0,2,0,108,428,81,5,8,4,6,0,3,2,0,108,497,76,23,17
1,17,2,1,2,1,108,404,61,33,9,4,6,187829,4,7,1,2,2,0,108,425,60,10,10,4,10,5,0,2,0,108,428,81,5,8
0,18,1,3,2,0,106,420,62,17,19,4,6,187829,4,6,2,1,2,1,108,404,61,33,9,4,7,1,2,2,0,108,425,60,10,10
1,19,0,3,2,1,106,433,71,16,13,4,3,187829,4,6,1,3,2,0,106,420,62,17,19,4,6,2,1,2,1,108,404,61,33,9
0,20,1,4,2,1,106,384,70,16,3,4,8,187829,4,3,0,3,2,1,106,433,71,16,13,4,6,1,3,2,0,106,420,62,17,19
1,21,0,1,2,1,106,362,73,9,12,4,1,187829,4,8,1,4,2,1,106,384,70,16,3,4,3,0,3,2,1,106,433,71,16,13
1,22,1,1,2,1,106,374,33,3,16,4,3,187829,4,1,0,1,2,1,106,362,73,9,12,4,8,1,4,2,1,106,384,70,16,3
0,23,1,1,2,1,106,329,54,23,7,4,3,187829,4,3,1,1,2,1,106,374,33,3,16,4,1,0,1,2,1,106,362,73,9,12
0,24,0,1,2,1,107,314,37,19,17,4,1,187829,4,3,1,1,2,1,106,329,54,23,7,4,3,1,1,2,1,106,374,33,3,16
1,25,0,2,2,1,107,276,37,14,17,4,1,187829,4,1,0,1,2,1,107,314,37,19,17,4,3,1,1,2,1,106,329,54,23,7
0,26,1,1,2,1,107,271,41,16,7,4,4,187829,4,1,0,2,2,1,107,276,37,14,17,4,1,0,1,2,1,107,314,37,19,17
1,27,0,0,2,1,107,304,26,15,15,4,3,187829,4,4,1,1,2,1,107,271,41,16,7,4,1,0,2,2,1,107,276,37,14,17
2,28,1,0,2,1,107,367,42,17,13,4,3,187829,4,3,0,0,2,1,107,304,26,15,15,4,4,1,1,2,1,107,271,41,16,7
2,29,2,1,2,1,107,300,45,13,13,4,4,187829,4,3,1,0,2,1,107,367,42,17,13,4,3,0,0,2,1,107,304,26,15,15
0,30,2,2,2,1,107,274,57,6,20,4,4,187829,4,4,2,1,2,1,107,300,45,13,13,4,3,1,0,2,1,107,367,42,17,13
0,31,0,0,2,1,112,362,31,11,13,4,1,187829,4,4,2,2,2,1,107,274,57,6,20,4,4,2,1,2,1,107,300,45,13,13
1,32,0,1,2,1,112,392,49,27,7,4,2,187829,4,1,0,0,2,1,112,362,31,11,13,4,4,2,2,2,1,107,274,57,6,20
0,33,1,1,2,1,112,317,42,12,13,4,3,187829,4,2,0,1,2,1,112,392,49,27,7,4,1,0,0,2,1,112,362,31,11,13
0,34,0,0,2,1,112,347,33,17,13,4,3,187829,4,3,1,1,2,1,112,317,42,12,13,4,2,0,1,2,1,112,392,49,27,7
0,35,0,1,2,1,112,359,63,16,14,4,2,187829,4,3,0,0,2,1,112,347,33,17,13,4,3,1,1,2,1,112,317,42,12,13
3,36,0,2,2,1,110,347,65,11,15,4,3,187829,4,2,0,1,2,1,112,359,63,16,14,4,3,0,0,2,1,112,347,33,17,13
2,37,3,0,2,1,110,352,70,17,14,4,4,187829,4,3,0,2,2,1,110,347,65,11,15,4,2,0,1,2,1,112,359,63,16,14
3,38,2,0,2,1,110,367,57,17,3,4,6,187829,4,4,3,0,2,1,110,352,70,17,14,4,3,0,2,2,1,110,347,65,11,15
3,39,3,1,2,1,110,406,64,7,14,4,3,187829,4,6,2,0,2,1,110,367,57,17,3,4,4,3,0,2,1,110,352,70,17,14
1,40,3,0,2,1,110,473,76,18,18,4,7,187829,4,3,3,1,2,1,110,406,64,7,14,4,6,2,0,2,1,110,367,57,17,3
0,41,1,9,2,1,110,345,86,14,19,4,12,187829,4,7,3,0,2,1,110,473,76,18,18,4,3,3,1,2,1,110,406,64,7,14
0,42,0,9,2,1,106,467,89,38,30,4,13,187829,4,12,1,9,2,1,110,345,86,14,19,4,7,3,0,2,1,110,473,76,18,18
0,43,0,6,2,1,106,571,84,40,27,4,17,187829,4,13,0,9,2,1,106,467,89,38,30,4,12,1,9,2,1,110,345,86,14,19
1,44,0,10,1,1,106,662,101,35,32,4,36,187829,4,17,0,6,2,1,106,571,84,40,27,4,13,0,9,2,1,106,467,89,38,30
5,45,1,22,1,1,106,683,139,23,25,4,38,187829,4,36,0,10,1,1,106,662,101,35,32,4,17,0,6,2,1,106,571,84,40,27
8,46,5,27,1,1,106,661,143,46,25,4,65,187829,4,38,1,22,1,1,106,683,139,23,25,4,36,0,10,1,1,106,662,101,35,32
8,47,8,29,1,1,106,704,135,46,25,4,72,187829,4,65,5,27,1,1,106,661,143,46,25,4,38,1,22,1,1,106,683,139,23,25
53,48,8,36,1,1,94,728,133,64,26,4,75,187829,4,72,8,29,1,1,106,704,135,46,25,4,65,5,27,1,1,106,661,143,46,25
62,49,53,39,1,1,94,720,142,66,28,4,124,187829,4,75,8,36,1,1,94,728,133,64,26,4,72,8,29,1,1,106,704,135,46,25
0,5,0,1,2,1,100,94,3,0,4,5,0,27888,5,0,0,0,2,1,102,78,16,1,0,5,0,0,1,2,1,102,107,9,10,0
0,6,0,3,2,1,100,91,9,0,1,5,0,27888,5,0,0,1,2,1,100,94,3,0,4,5,0,0,0,2,1,102,78,16,1,0
0,7,0,1,2,1,108,67,3,1,0,5,0,27888,5,0,0,3,2,1,100,91,9,0,1,5,0,0,1,2,1,100,94,3,0,4
