area,tag,count
4,17#3,83
4,17#2,2158
4,17#5,2075
4,17#4,332
4,7#2,166
4,11#8,11786
4,13#8,415
4,11#3,1826
4,13#4,2822
4,11#1,498
4,13#6,332
4,11#7,996
4,11#6,4067
4,11#5,249
4,11#4,6640
4,19#3,4648
4,19#2,249
4,19#1,1328
4,19#4,1245
4,14#6,415
4,14#7,1328
4,14#2,83
4,14#3,83
4,6,2822
4,14#8,83
4,14#9,996
4,4#10,664
4,4#11,332
4,4#13,581
4,4#14,1162
4,1#11,1162
4,4#17,1079
4,4#18,996
4,3#1,3071
4,3#3,249
4,11,3237
4,12,83
4,15,1245
4,14,581
4,17,498
4,16,1494
4,19,21995
4,6#1,581
4,6#2,249
4,6#4,83
4,2#12,830
4,2#13,166
4,2#10,747
4,20#7,7553
4,20#6,249
4,20#5,913
4,20#4,3071
4,20#2,1328
4,20#1,4482
4,16#12,2656
4,16#10,3403
4,16#11,1328
4,20#8,17596
4,23#1,83
4,23#3,332
4,23#4,83
4,23#5,415
4,22#1,166
4,22#3,249
4,22#2,498
4,22#5,166
4,22#4,664
4,25#8,747
4,25#9,1743
4,25#6,83
4,25#7,166
4,1,332
4,24#2,1079
4,24#1,5063
4,13#5,415
4,11#2,1826
4,2#5,332
4,2#6,166
4,2#7,166
4,2#2,1743
4,2#3,83
4,21#2,83
5,20#7,581
5,20#5,166
5,20#4,83
5,8#4,332
5,20#1,332
5,16#12,332
5,16#10,249
5,16#11,166
5,20#8,913
5,16#8,83
5,23#5,83
5,1,83
5,22#2,166
5,22#4,166
5,19#3,664
5,19#2,249
5,19#1,249
5,25#9,166
5,20,415
5,19#4,332
5,17#5,166
5,25#7,166
5,14#6,83
5,14#7,83
5,6#3,83
5,14#2,83
5,4,664
5,7,830
5,6,166
5,24#1,166
5,14#3,83
5,15#7,249
5,11,83
5,15#4,166
5,15#3,747
5,15#2,83
5,5#1,83
5,25,83
5,4#5,166
5,4#2,249
5,4#14,166
5,8#2,249
5,8#3,83
5,16#3,166
5,16#4,415
5,17,83
5,4#16,166
5,13#4,166
5,4#18,415
5,2#7,83
5,17#2,166
5,3#1,1328
5,3#3,83
5,1#3,83
5,2#6,83
5,15,332
5,1#6,415
5,1#5,249
5,16,332
5,19,5478
5,11#7,83
5,1#9,83
5,1#4,83
5,2#2,581
5,2#13,83
5,1#11,83
5,11#8,1909
5,21#2,664
5,2#5,83
5,11#2,913
5,11#1,1909
5,2#12,83
5,11#6,249
5,2#10,83
5,11#4,166
6,4#16,83
6,24,249
6,25,249
6,20,1245
6,22,498
6,23,83
6,4,664
6,5#3,332
6,5#1,747
6,8#2,913
6,8#3,166
6,8#4,83
6,1#2,498
6,1#5,664
6,1#4,83
6,1#9,83
6,1#8,1079
6,7,1328
6,15#7,166
6,15#6,249
6,15#4,83
6,15#3,747
6,15#2,249
6,4#8,83
6,4#9,83
6,4#6,83
6,4#5,415
6,4#2,581
6,4#3,332
6,4#1,83
6,16#3,83
6,16#4,1660
6,16#8,83
6,17#2,1992
6,17#5,498
6,17#4,166
6,11#8,11122
6,13#5,83
6,11#2,1079
6,11#1,249
6,13#6,83
6,11#7,1411
6,11#6,4648
6,11#5,249
6,11#4,15106
6,19#3,830
6,19#2,249
6,19#1,166
6,19#4,249
6,14#6,166
6,14#7,83
6,14#2,83
6,14#3,166
6,6,6225
6,4#10,249
6,4#11,415
6,4#12,83
6,4#13,415
6,4#14,332
6,1#11,1162
6,4#17,83
6,4#18,996
6,3#1,1992
6,11,3071
6,15,747
6,14,166
6,17,83
6,16,166
6,19,5229
6,6#1,166
6,6#2,830
6,2#12,3403
6,2#13,2075
6,2#10,415
6,20#7,913
6,20#6,83
6,20#5,498
6,20#4,1079
6,20#2,498
6,20#1,3071
6,16#12,415
6,16#10,830
6,16#11,1743
6,20#8,3569
6,23#5,83
6,22#2,498
6,22#4,249
6,22#6,83
6,25#8,83
6,25#9,1079
6,25#7,332
6,24#2,166
6,24#1,2490
6,11#3,1660
6,13#4,3320
6,2#6,1328
6,2#7,166
6,2#2,581
6,2#3,332
6,21#2,83
7,1#11,1577
7,1#10,83
7,24,1494
7,25,2988
7,20,13114
7,22,1328
7,23,5063
7,4,13363
7,8,1162
7,5#3,3486
7,5#1,8549
7,8#2,10624
7,8#3,14691
7,8#1,166
7,8#4,7470
7,8#5,83
7,1#3,996
7,1#2,1660
7,1#1,166
7,1#7,332
7,1#5,8715
7,1#4,664
7,1#9,249
7,1#8,3984
7,14#10,332
7,15#1,83
7,7,7221
7,15#7,2490
7,15#6,6225
7,15#4,415
7,15#3,10458
7,15#2,8217
7,4#8,249
7,4#9,3652
7,4#6,1411
7,4#7,2988
7,4#4,83
7,4#5,2739
7,4#2,3237
7,4#3,747
7,4#1,332
7,16#1,83
7,16#2,166
7,16#3,415
7,16#4,5976
7,17#3,249
7,17#2,7304
7,17#5,9960
7,17#4,1660
7,11#8,41832
7,13#8,17015
7,11#3,9545
7,11#2,10956
7,11#1,7968
7,11#7,3818
7,11#6,11371
7,11#5,8300
7,11#4,41334
7,19#3,134460
7,19#2,415
7,19#1,996
7,19#4,2241
7,15#8,83
7,14#6,3735
7,14#7,26311
7,14#4,83
7,14#3,830
7,6,20418
7,14#8,747
7,14#9,1245
7,14#1,249
7,4#10,5727
7,4#11,2158
7,4#12,166
7,4#13,1992
7,4#14,2158
7,4#16,498
7,4#17,4233
7,4#18,2656
7,3#1,1411
7,3#3,415
7,3#2,249
7,11,10873
7,15,10292
7,14,5478
7,17,996
7,16,6308
7,19,151641
7,6#1,2241
7,6#2,3984
7,6#3,83
7,6#4,1079
7,2#12,15106
7,2#13,5395
7,2#10,1162
7,2#11,332
7,20#7,8383
7,20#6,332
7,20#5,3071
7,20#4,10956
7,20#2,6806
7,20#1,6391
7,16#12,2822
7,16#10,25481
7,16#11,6806
7,20#8,34611
7,23#1,1162
7,23#2,249
7,23#3,1494
7,23#4,498
7,23#5,747
7,23#6,1494
7,22#1,1162
7,22#3,249
7,22#2,664
7,22#5,1660
7,22#4,1577
7,25#8,1660
7,25#9,2739
7,25#2,498
7,25#3,1079
7,25#1,249
7,25#6,830
7,25#7,1992
7,25#4,83
7,25#5,166
7,1,3735
7,5,332
7,24#3,2988
7,24#2,14691
7,24#1,184011
7,13#4,50713
7,2#8,166
7,2#4,83
7,2#5,913
7,2#6,18094
7,2#7,664
7,2#1,664
7,2#2,11371
7,2#3,664
7,21#2,581
8,4#16,498
8,1#10,830
8,24,6308
8,25,4897
8,20,56440
8,22,2739
8,23,4980
8,4,22576
8,8,996
8,5#3,5727
8,5#2,83
8,5#1,8383
8,8#2,13446
8,8#3,5893
8,8#1,498
8,8#4,9628
8,1#3,249
8,1#2,1660
8,1#1,664
8,1#7,166
8,1#6,83
8,1#5,21082
8,1#4,415
8,1#9,83
8,1#8,11703
8,14#10,830
8,15#1,332
8,4#1,1494
8,7,13197
8,15#7,4316
8,15#6,6889
8,15#4,996
8,15#3,14193
8,15#2,8715
8,4#8,249
8,4#9,5478
8,4#6,996
8,4#7,1411
8,4#4,166
8,4#5,8881
8,4#2,5727
8,4#3,4233
8,15#8,249
8,16#1,166
8,16#2,581
8,16#3,747
8,16#4,8300
8,17#1,332
8,17#3,747
8,17#2,19747
8,17#5,24900
8,17#4,6557
8,11#8,60258
8,13#8,5976
8,11#3,13031
8,13#4,65321
8,11#1,3735
8,13#6,83
8,11#7,6142
8,11#6,29880
8,11#5,2324
8,11#4,70052
8,16#8,83
8,19#3,80676
8,19#2,1162
8,19#1,2407
8,19#4,2490
8,14#6,996
8,14#7,415
8,14#2,83
8,14#3,1245
8,6,16434
8,14#8,581
8,14#9,581
8,4#10,7636
8,4#11,7055
8,4#13,6889
8,4#14,4150
8,4#15,7
8,1#11,4980
8,4#17,3652
8,4#18,4980
8,3#1,2905
8,3#3,415
8,3#2,249
8,11,22161
8,15,14193
8,14,1909
8,17,2324
8,16,12616
8,19,145665
8,18,83
8,6#1,3486
8,6#2,2407
8,6#3,415
8,6#4,747
8,2#12,15687
8,2#13,4233
8,2#10,4399
8,2#11,996
8,20#7,27556
8,20#6,249
8,20#5,7055
8,20#4,10043
8,20#2,12782
8,20#1,15853
8,16#12,2822
8,16#10,24983
8,16#11,15936
8,20#9,83
8,20#8,103335
8,23#1,664
8,23#2,166
8,23#3,1079
8,23#4,830
8,23#5,2656
8,23#6,1660
8,22#1,1411
8,22#3,1494
8,22#2,3818
8,22#5,415
8,22#4,2490
8,25#8,2324
8,25#9,9130
8,25#3,913
8,25#1,83
8,25#6,581
8,25#7,4648
8,25#4,166
8,25#5,332
8,1,6142
8,5,747
8,24#3,2490
8,24#2,11122
8,24#1,240036
8,11#2,14193
8,2#4,664
8,2#5,2241
8,2#6,6640
8,2#7,1992
8,2#1,830
8,2#2,16434
8,2#3,664
9,4#16,166
9,25,415
9,20,5312
9,22,498
9,4,1992
9,8,166
9,5#3,830
9,5#1,1494
9,8#2,1411
9,8#3,747
9,8#4,996
9,1#3,166
9,1#2,747
9,1#1,332
9,1#7,249
9,1#6,249
9,1#5,3486
9,1#4,83
9,1#9,415
9,1#8,830
9,14#10,166
9,15#1,83
9,7,3320
9,15#7,83
9,15#6,1577
9,15#3,2656
9,15#2,1245
9,4#8,332
9,4#9,415
9,4#7,415
9,4#5,996
9,4#2,913
9,4#3,581
9,4#1,166
9,16#3,166
9,16#4,2988
9,16#8,166
9,17#3,83
9,17#2,2324
9,17#5,2075
9,17#4,498
9,11#8,11205
9,13#8,415
9,11#3,2407
9,13#4,4731
9,11#1,2407
9,13#6,166
9,11#7,1079
9,11#6,5063
9,11#5,332
9,11#4,11371
9,17#1,166
9,19#3,2905
9,19#2,249
9,19#1,415
9,19#4,332
9,14#6,498
9,14#7,2905
9,6,8134
9,14#8,332
9,14#9,166
9,4#10,415
9,4#11,581
9,4#13,498
9,4#14,581
9,1#11,996
9,4#17,996
9,4#18,1411
9,3#1,3154
9,3#3,83
9,11,3486
9,15,1494
9,14,664
9,17,415
9,16,249
9,19,7968
9,6#1,498
9,6#2,166
9,6#4,83
9,2#12,2739
9,2#13,996
9,2#10,664
9,20#7,3071
9,20#6,83
9,20#5,996
9,20#4,2324
9,20#2,1162
9,20#1,2822
9,16#12,1826
9,16#10,3901
9,16#11,4233
9,20#8,16600
9,23#1,166
9,23#3,166
9,23#5,249
9,22#1,166
9,22#3,83
9,22#2,913
9,22#5,249
9,22#4,581
9,25#8,581
9,25#9,1245
9,25#2,83
9,25#6,166
9,25#7,830
9,25#5,166
9,1,747
9,24#2,1328
9,24#1,4648
9,13#5,166
9,11#2,2158
9,2#5,249
9,2#6,664
9,2#7,249
9,2#1,83
9,2#2,4980
9,2#3,332
9,21#2,249
10,20#7,332
10,11#5,83
10,20#1,498
10,16#12,332
10,16#10,664
10,16#11,166
10,20#8,1660
10,23#5,166
10,15#3,166
10,2#3,83
10,19#3,166
10,25#9,166
10,20,415
10,2#4,83
10,17#5,166
10,25#7,83
10,14#6,581
10,14#7,1660
10,4,332
10,7,498
10,6,1494
10,6#4,83
10,24#1,830
10,15#7,83
10,1#3,83
10,15#4,83
10,5#3,166
10,15#2,83
10,5#1,166
10,4#7,83
10,4#2,166
10,4#3,166
10,8#2,166
10,4#11,249
10,4#13,166
10,16#4,498
10,17,83
10,8#4,166
10,4#17,332
10,4#18,166
10,17#2,83
10,3#1,1909
10,1#6,249
10,11,249
10,1#2,83
10,7#2,83
10,15,83
10,14,581
10,1#5,498
10,19,1660
10,2#12,83
10,1#8,166
10,2#2,249
10,11#6,83
10,6#1,83
10,6#2,83
10,11#8,3071
10,21#2,581
10,13#4,332
10,11#3,166
10,11#2,996
10,11#1,4067
10,11#7,415
10,2#13,83
10,2#10,83
10,11#4,664
11,4#16,415
11,24,83
11,25,830
11,20,15189
11,22,7387
11,23,166
11,4,3984
11,8,166
11,5#3,83
11,5#1,332
11,8#2,2490
11,8#3,913
11,8#4,1577
11,8#5,83
11,1#3,83
11,1#2,166
11,1#7,83
11,1#5,3818
11,1#4,83
11,1#8,664
11,7,2573
11,15#7,830
11,15#6,1245
11,15#4,166
11,15#3,2573
11,15#2,1245
11,4#8,415
11,4#9,415
11,4#6,415
11,4#7,249
11,4#5,498
11,4#2,6474
11,4#3,83
11,4#1,332
11,16#1,83
11,16#3,664
11,16#4,2324
11,17#2,1826
11,17#5,1909
11,7#1,83
11,11#8,12865
11,11#3,249
11,11#2,166
11,13#6,83
11,11#7,498
11,11#6,1660
11,11#4,7055
11,19#3,11205
11,19#2,747
11,19#1,3154
11,19#4,332
11,15#8,83
11,14#2,249
11,6,4648
11,14#8,83
11,4#10,415
11,4#11,747
11,4#13,83
11,4#14,1245
11,1#11,1660
11,4#17,913
11,4#18,664
11,3#1,4648
11,3#3,166
11,3#2,83
11,11,4316
11,15,1743
11,17,332
11,16,4150
11,19,44239
11,6#1,498
11,6#2,83
11,2#12,83
11,2#10,913
11,2#11,83
11,20#7,15853
11,20#6,83
11,20#5,1328
11,20#4,4316
11,20#2,1328
11,20#1,8632
11,16#12,1577
11,16#10,1328
11,16#11,332
11,20#9,83
11,20#8,11620
11,23#3,83
11,23#5,415
11,22#1,166
11,22#3,9047
11,22#2,2490
11,22#5,3652
11,22#4,4482
11,22#6,83
11,25#8,415
11,25#9,2407
11,25#2,83
11,25#3,249
11,25#6,166
11,25#7,996
11,1,415
11,5,83
11,24#3,83
11,24#2,664
11,24#1,2573
11,13#5,83
11,13#4,4399
11,2#5,581
11,2#6,83
11,2#7,166
11,2#2,913
11,2#3,83
11,21#1,166
12,1#11,2241
12,1#10,249
12,24,1245
12,25,3652
12,20,33449
12,22,2324
12,23,913
12,4,13031
12,8,166
12,5#4,83
12,5#3,3569
12,5#2,83
12,5#1,4731
12,8#2,8798
12,8#3,5229
12,8#1,664
12,8#4,7387
12,8#5,83
12,1#3,498
12,1#2,2822
12,1#1,415
12,1#7,166
12,1#6,83
12,1#5,12367
12,1#4,249
12,1#9,166
12,1#8,4316
12,14#10,664
12,7,6640
12,15#7,1411
12,15#6,5644
12,15#4,249
12,15#3,11537
12,15#2,4150
12,4#8,747
12,4#9,2988
12,4#6,913
12,4#7,1743
12,4#4,166
12,4#5,4814
12,4#2,1328
12,4#3,1743
12,4#1,664
12,16#1,83
12,16#2,332
12,16#3,332
12,16#4,7968
12,17#1,249
12,16#9,332
12,17#3,498
12,17#2,12201
12,17#5,20999
12,17#4,3569
12,11#8,36188
12,13#8,1660
12,11#3,6640
12,11#2,7221
12,11#1,1992
12,11#7,2490
12,11#6,18924
12,11#5,2822
12,11#4,30544
12,19#3,27722
12,19#2,1245
12,19#1,1826
12,19#4,581
12,14#6,1909
12,14#7,1909
12,14#2,83
12,14#3,1245
12,6,8466
12,14#8,83
12,14#9,83
12,4#10,4067
12,4#11,3569
12,4#12,83
12,4#13,7387
12,4#14,2656
12,4#16,664
12,4#17,4150
12,4#18,4648
12,3#1,3652
12,3#3,166
12,3#2,166
12,11,10956
12,15,6059
12,14,4399
12,17,2988
12,16,7636
12,19,55859
12,6#1,1826
12,6#2,664
12,6#4,830
12,2#12,4648
12,2#13,249
12,2#10,2490
12,2#11,1826
12,20#7,11952
12,20#6,830
12,20#5,5561
12,20#4,11703
12,20#2,6557
12,20#1,8217
12,16#12,3818
12,16#10,15521
12,16#11,9711
12,20#8,118690
12,23#1,498
12,23#2,83
12,23#3,498
12,23#4,249
12,23#5,996
12,23#6,249
12,22#1,498
12,22#3,83
12,22#2,2324
12,22#5,913
12,22#4,1328
12,25#8,1909
12,25#9,6142
12,25#3,581
12,25#6,415
12,25#7,4980
12,25#5,249
12,1,4482
12,5,249
12,24#3,166
12,24#2,5727
12,24#1,133713
12,13#4,19173
12,2#8,166
12,2#4,249
12,2#5,1079
12,2#6,1245
12,2#7,1826
12,2#1,83
12,2#2,9213
12,2#3,415
13,4#16,249
13,24,913
13,25,332
13,20,4316
13,22,415
13,4,2158
13,5#4,83
13,5#3,166
13,5#1,332
13,8#2,996
13,8#4,830
13,1#2,83
13,1#1,166
13,1#5,913
13,1#4,83
13,1#8,664
13,14#10,166
13,3,83
13,7,2573
13,15#7,249
13,15#6,664
13,15#4,166
13,15#3,2656
13,15#2,1411
13,4#8,249
13,4#4,83
13,4#5,166
13,4#2,498
13,4#3,249
13,4#1,332
13,16#3,166
13,16#4,2822
13,16#8,166
13,16#9,166
13,17#2,1079
13,17#5,1245
13,11#8,4565
13,13#8,166
13,11#3,83
13,11#2,166
13,11#1,83
13,11#7,166
13,11#6,1328
13,11#5,83
13,11#4,1162
13,19#3,3901
13,19#2,498
13,19#1,2241
13,19#4,415
13,14#6,332
13,6,249
13,4#10,83
13,4#11,166
13,4#12,83
13,4#13,83
13,4#14,415
13,1#11,166
13,4#17,747
13,4#18,664
13,3#1,4565
13,3#3,83
13,11,996
13,15,747
13,17,166
13,16,996
13,19,15521
13,6#1,83
13,2#12,498
13,2#10,913
13,2#11,83
13,20#7,2241
13,20#6,166
13,20#5,664
13,20#4,1162
13,20#2,166
13,20#1,4316
13,16#12,1743
13,16#10,664
13,16#11,1909
13,20#8,5478
13,23#1,83
13,23#5,83
13,22#3,498
13,22#2,332
13,22#5,83
13,22#4,581
13,25#8,415
13,25#9,1162
13,25#3,83
13,25#1,83
13,25#7,830
13,25#5,166
13,24#1,6972
13,13#4,2241
13,2#9,83
13,2#4,83
13,2#5,249
13,2#6,332
13,2#7,498
13,2#2,415
13,21#1,83
14,1#11,1328
14,24,581
14,25,1494
14,20,12782
14,22,2988
14,23,332
14,4,5478
14,8,166
14,5#4,83
14,5#3,1743
14,5#1,1826
14,8#2,3652
14,8#3,1660
14,8#1,83
14,8#4,2241
14,1#3,166
14,1#2,498
14,1#5,6557
14,1#4,83
14,1#9,166
14,1#8,2490
14,3,83
14,7,8300
14,15#7,1494
14,15#6,2490
14,15#4,249
14,15#3,5063
14,15#2,1411
14,4#8,83
14,4#9,1411
14,4#6,415
14,4#7,996
14,4#4,166
14,4#5,3486
14,4#2,2241
14,4#3,1328
14,4#1,664
14,16#2,83
14,16#3,332
14,16#4,4150
14,16#6,83
14,17#1,249
14,17#3,249
14,17#2,5063
14,17#5,5063
14,17#4,1162
14,11#8,17347
14,13#8,1577
14,11#3,2573
14,11#2,3071
14,11#1,2075
14,13#6,415
14,11#7,1245
14,11#6,5229
14,11#5,581
14,11#4,19090
14,19#3,8383
14,19#2,498
14,19#1,415
14,19#4,747
14,15#8,83
14,14#6,2075
14,14#7,5312
14,14#5,83
14,14#2,83
14,14#3,415
14,6,7885
14,14#8,249
14,14#9,415
14,4#10,2241
14,4#11,2158
14,4#12,249
14,4#13,1909
14,4#14,1909
14,4#16,498
14,4#17,2324
14,4#18,1494
14,3#1,664
14,3#3,166
14,3#2,332
14,11,6225
14,15,3320
14,14,2407
14,17,830
14,16,6723
14,19,24651
14,6#1,747
14,6#2,1328
14,6#3,249
14,6#4,415
14,2#12,1992
14,2#13,166
14,2#10,1494
14,2#11,249
14,20#7,13363
14,20#6,83
14,20#5,4399
14,20#4,2822
14,20#2,6059
14,20#1,4897
14,16#12,1660
14,16#10,9794
14,16#11,10043
14,20#8,21912
14,23#1,415
14,23#3,498
14,23#4,83
14,23#5,166
14,23#6,83
14,22#1,166
14,22#3,166
14,22#2,1411
14,22#5,415
14,22#4,830
14,25#8,1245
14,25#9,4233
14,25#2,83
14,25#3,473
14,25#1,83
14,25#6,166
14,25#7,1826
14,1,2490
14,5,415
14,24#3,332
14,24#2,2324
14,24#1,73953
14,13#4,17845
14,2#4,83
14,2#5,747
14,2#6,830
14,2#7,498
14,2#2,3237
14,21#2,415
14,21#1,83
15,20#2,83
15,20#1,83
15,16#10,332
15,4#17,83
15,20#8,83
15,5#3,83
15,19#3,83
15,25,83
15,19#1,166
15,25#9,166
15,20,166
15,19#4,83
15,25#7,83
15,14#7,4067
15,14#4,581
15,14#3,83
15,7,166
15,6,83
15,8,83
15,24#1,830
15,4,249
15,1#3,83
15,15#3,249
15,15#2,249
15,4#7,83
15,16#4,249
15,16#6,83
15,13#4,415
15,4#18,249
15,3#1,1577
15,11,249
15,15,166
15,14,664
15,1#4,83
15,19,415
15,1#8,166
15,14#10,166
15,11#8,415
15,21#2,498
15,13#8,166
15,21#1,83
15,11#2,83
15,2#12,83
15,11#6,249
16,1#11,664
16,24,249
16,25,166
16,20,3652
16,22,498
16,4,913
16,5#1,498
16,8#2,664
16,8#3,166
16,8#4,664
16,1#3,83
16,1#2,249
16,1#1,83
16,1#5,1079
16,1#9,83
16,1#8,747
16,7,2241
16,15#7,83
16,15#6,498
16,15#4,83
16,15#3,1494
16,15#2,249
16,4#8,83
16,4#9,249
16,4#6,166
16,4#5,415
16,4#2,332
16,4#3,166
16,4#1,332
16,16#2,83
16,16#3,83
16,16#4,2490
16,17#2,1079
16,17#5,664
16,17#4,83
16,11#8,3320
16,11#3,83
16,13#4,2075
16,11#1,83
16,11#7,249
16,11#6,1079
16,11#5,83
16,11#4,3071
16,19#3,2324
16,19#1,1162
16,19#4,249
16,14#6,166
16,14#3,83
16,6,2241
16,4#10,83
16,4#11,498
16,4#12,83
16,4#13,664
16,4#14,332
16,4#16,166
16,4#18,664
16,3#1,2075
16,3#3,83
16,11,1162
16,15,332
16,14,83
16,17,249
16,16,1743
16,19,10458
16,6#1,83
16,6#2,83
16,2#12,332
16,2#13,83
16,2#10,498
16,2#11,83
16,20#7,4150
16,20#6,83
16,20#5,747
16,20#4,2158
16,20#2,332
16,20#1,2324
16,16#12,498
16,16#10,249
16,16#11,747
16,20#8,5312
16,23#2,83
16,23#6,83
16,22#2,498
16,22#5,249
16,22#4,415
16,25#8,249
16,25#9,1079
16,25#6,83
16,25#7,581
16,1,332
16,24#3,83
16,24#2,415
16,24#1,2988
16,2#5,83
16,2#7,249
16,2#1,166
16,2#2,415
16,21#2,83
17,1#11,498
17,24,332
17,25,581
17,20,5810
